countyfips,state,priv_schools,priv_enrollment
30047,MT,6,161
30049,MT,6,496
30053,MT,5,184
30063,MT,12,1008
30067,MT,2,79
30081,MT,3,211
30083,MT,1,24
30089,MT,1,17
30093,MT,3,171
30099,MT,1,55
30105,MT,1,25
30111,MT,11,1005
31001,NE,4,574
31003,NE,2,120
31011,NE,1,115
31013,NE,2,216
31019,NE,3,527
31023,NE,2,470
31025,NE,1,50
31027,NE,2,232
31031,NE,1,28
31037,NE,1,49
31039,NE,3,781
31043,NE,1,151
31045,NE,2,18
31047,NE,1,19
31053,NE,4,552
31055,NE,49,13200
31059,NE,1,15
31067,NE,2,139
31079,NE,5,533
31081,NE,2,43
31089,NE,2,231
31095,NE,1,57
31097,NE,1,14
31101,NE,2,77
31107,NE,2,113
31109,NE,27,6216
31111,NE,2,195
31119,NE,10,1589
31133,NE,1,16
31137,NE,1,31
31139,NE,3,148
31141,NE,8,849
31143,NE,1,19
31147,NE,1,201
31151,NE,2,80
31153,NE,5,1441
31155,NE,2,544
31157,NE,3,182
31159,NE,4,365
31169,NE,1,49
31173,NE,1,94
31175,NE,1,45
31177,NE,2,162
31179,NE,2,52
31185,NE,4,393
32001,NV,2,73
32003,NV,69,12825
32005,NV,5,316
32019,NV,3,78
32023,NV,2,134
32031,NV,27,3181
32510,NV,2,336
33001,NH,6,850
33003,NH,3,436
33005,NH,14,982
33007,NH,2,27
33009,NH,14,906
33011,NH,67,4859
33013,NH,16,1901
33015,NH,32,2211
33017,NH,12,1519
33019,NH,6,804
34001,NJ,21,3246
34003,NJ,99,17710
34005,NJ,32,4221
34007,NJ,46,6093
34009,NJ,7,714
34011,NJ,6,544
34013,NJ,65,10912
34015,NJ,19,2766
34017,NJ,33,5942
34019,NJ,6,594
34021,NJ,33,7333
34023,NJ,67,8402
34025,NJ,64,10622
34027,NJ,50,6701
34029,NJ,64,23478
34031,NJ,43,6670
34033,NJ,2,186
34035,NJ,49,5613
34037,NJ,11,789
34039,NJ,53,7065
34041,NJ,5,710
35001,NM,48,7306
35005,NM,5,432
35006,NM,2,94
35009,NM,1,244
35013,NM,6,652
35015,NM,1,38
35017,NM,3,106
35025,NM,4,212
35028,NM,2,17
35031,NM,5,298
35035,NM,3,246
35039,NM,2,75
35043,NM,6,631
35045,NM,7,515
35047,NM,2,263
35049,NM,16,1134
35051,NM,1,23
35061,NM,3,316
36001,NY,28,4332
36003,NY,5,296
36005,NY,61,20675
36007,NY,10,1260
36009,NY,17,656
36011,NY,8,395
36013,NY,13,527
36015,NY,5,406
36017,NY,2,129
36019,NY,3,323
36021,NY,4,414
36023,NY,4,292
36025,NY,2,104
36027,NY,26,2777
36029,NY,61,13373
36031,NY,7,477
36033,NY,4,209
36037,NY,2,199
36039,NY,1,54
36043,NY,3,146
36045,NY,3,668
36047,NY,226,84352
36049,NY,4,159
36051,NY,2,263
36053,NY,2,160
36055,NY,43,7512
36057,NY,6,373
36059,NY,91,21625
36061,NY,137,39235
36063,NY,9,872
36065,NY,5,327
36067,NY,25,3044
36069,NY,5,297
36071,NY,22,13681
36073,NY,1,21
36075,NY,2,204
36077,NY,4,101
36079,NY,5,485
36081,NY,128,34868
36083,NY,10,1728
36085,NY,35,7069
36087,NY,51,10594
36089,NY,16,676
36091,NY,11,1032
36093,NY,7,680
36095,NY,2,19
36097,NY,2,29
36099,NY,2,92
36101,NY,5,405
36103,NY,59,11589
36105,NY,7,857
36107,NY,2,68
36109,NY,5,362
36111,NY,13,1246
36113,NY,2,190
36115,NY,2,35
36117,NY,2,98
36119,NY,81,17600
36121,NY,3,169
36123,NY,11,308
37001,NC,7,1528
37005,NC,1,28
37011,NC,2,111
37013,NC,3,403
37015,NC,2,345
37017,NC,2,103
37019,NC,7,461
37021,NC,30,3463
37023,NC,4,190
37025,NC,9,2298
37027,NC,1,143
37031,NC,5,348
37035,NC,10,1428
37037,NC,4,139
37039,NC,1,9
37041,NC,1,8
37043,NC,1,23
37045,NC,2,137
37047,NC,3,34
37049,NC,6,1054
37051,NC,21,4080
37053,NC,1,20
37055,NC,2,88
37057,NC,7,1193
37059,NC,1,60
37061,NC,4,109
37063,NC,24,4398
37067,NC,17,3026
37069,NC,2,113
37071,NC,7,1387
37079,NC,1,92
37081,NC,25,5595
37083,NC,3,447
37085,NC,4,376
37087,NC,2,29
37089,NC,11,896
37091,NC,2,385
37093,NC,3,159
37095,NC,1,30
37097,NC,9,1066
37099,NC,3,189
37101,NC,3,338
37105,NC,3,629
37107,NC,2,1037
37109,NC,2,99
37111,NC,2,280
37113,NC,1,63
37115,NC,1,26
37119,NC,60,15740
37121,NC,3,70
37123,NC,1,45
37125,NC,7,1053
37127,NC,5,827
37129,NC,17,2593
37131,NC,1,144
37133,NC,9,1100
37135,NC,6,644
37137,NC,1,75
37139,NC,3,169
37141,NC,1,13
37147,NC,11,1407
37151,NC,4,246
37153,NC,3,147
37155,NC,3,117
37157,NC,4,236
37159,NC,8,818
37161,NC,6,265
37163,NC,6,688
37165,NC,3,275
